row,Swap_Image_Formula
1,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0001/result.png"")"
2,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0002/result.png"")"
3,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0003/result.png"")"
4,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0004/result.png"")"
5,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0005/result.png"")"
6,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0006/result.png"")"
7,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0007/result.png"")"
8,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0008/result.png"")"
9,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0009/result.png"")"
10,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0010/result.png"")"
11,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0011/result.png"")"
12,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0012/result.png"")"
13,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0013/result.png"")"
14,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0014/result.png"")"
15,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0015/result.png"")"
16,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0016/result.png"")"
17,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0017/result.png"")"
18,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0018/result.png"")"
19,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0019/result.png"")"
20,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0020/result.png"")"
21,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0021/result.png"")"
22,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0022/result.png"")"
23,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0023/result.png"")"
24,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0024/result.png"")"
25,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0025/result.png"")"
26,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0026/result.png"")"
27,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0027/result.png"")"
28,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0028/result.png"")"
29,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0029/result.png"")"
30,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0030/result.png"")"
31,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0031/result.png"")"
32,
33,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0033/result.png"")"
34,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0034/result.png"")"
35,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0035/result.png"")"
36,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0036/result.png"")"
37,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0037/result.png"")"
38,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0038/result.png"")"
39,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0039/result.png"")"
40,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0040/result.png"")"
41,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0041/result.png"")"
42,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0042/result.png"")"
43,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0043/result.png"")"
44,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0044/result.png"")"
45,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0045/result.png"")"
46,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0046/result.png"")"
47,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0047/result.png"")"
48,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0048/result.png"")"
49,"=IMAGE(""https://content.dashtoon.ai/stability-images/face-swap-results/row_0049/result.png"")"
